gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
AC004223.4	1.648716	0.15974	0.661475	0.400161	0.695928
AC004224.2	0	0.050126	0	0.041857	0.031197
AC004231.1	0.276551	0.390432	0.103638	0.16301	0.02025
AC004231.3	0.0624	0	0.458339	0	0
AC004232.1	0	0	0	0	0
AC004233.1	0.370706	0.261679	0.111139	0.4006	0.244294
AC004233.2	2.245519	3.468708	0.386051	3.245434	1.092426
AC004233.3	0.308858	0.063589	0.283577	0.424791	0.11873
AC004241.1	0.208038	0.054104	0.176169	0.306206	0.108501
AC004241.2	0.362595	0.059723	0.190237	0.498699	0.14868
AC004241.3	1.401287	0.461608	0.228726	0.428283	1.149175
AC004241.4	0.028749	0	0.015083	0	0.044206
AC004253.1	1.121668	0.163013	0.138468	0.952842	1.251285
AC004253.2	0.121657	0	0.042552	0	0.04157
AC004257.1	0	0	0.060986	0	0.059579
AC004263.1	0.094981	0	0.12458	0.261265	0.292096
AC004264.1	0.040552	0.066793	0.042552	0.055774	0.187067
AC004381.1	0.1376	0	0.096257	0.063083	0.141055
AC004408.1	0	0	0.029482	0	0
AC004415.1	0	0	0	0	0
AC004447.2	2.738735	1.53657	1.720071	5.76468	6.632796
AC004448.1	0	0	0	0	0
AC004448.2	0.00384	0	0.03626	0.010562	0.01968
AC004448.3	0	0	0	0	0
AC004449.1	0.148723	0	0	0.255684	0.190571
AC004461.3	0.060147	0.099067	0.147262	0.24817	0.143866
AC004466.1	0.04472	0	0.062567	0.143514	0.122248
AC004466.2	0.0936	0.051389	0.261908	0.128734	0.159917
AC004466.3	0.117943	0.194262	0.247517	0.364982	0.453391
AC004470.1	0	0	0	0	0
AC004471.1	0.442591	0.136685	0.087078	0.494586	0
AC004471.2	0.180771	0.035029	0.111579	0.131625	0.054503
AC004477.1	0.741015	0.018082	0.115193	0.603948	0.326355
AC004477.2	0	0	0	0	0
AC004477.3	0.791318	0.7191	0.286323	0.600467	0.643354
AC004485.1	0	0	0	0	0
AC004490.1	0	0.009685	0	0.016174	0.012055
AC004492.1	0.650912	0.500317	0.500872	0.358095	0.600529
AC004494.1	0.049033	0.017947	0.080035	0.127383	0.100529
AC004522.4	0.023675	0	0.024843	0.130248	0.097079
AC004528.1	0	0	0	0	0
AC004528.2	0	0	0	0	0
AC004540.1	1.305343	3.427555	1.012392	0.195143	0.688451
AC004540.2	0.054759	1.202577	0	0.125523	0.261959
AC004542.1	0	0	0	0	0
AC004542.2	0	0	0	0	0
AC004543.1	0	0.071861	0.091561	0	0.08945
AC004551.1	0.055997	0	0	0.038508	0
AC004584.1	0.058649	0	0.123082	0.120996	0.060122
AC004584.3	0.0205	0.02251	0.064532	0.056389	0
AC004585.1	0.389714	0.664027	2.383078	1.774336	0.234189
AC004590.1	0	0	0	0	0
AC004594.1	0.046556	0.015337	0.014656	0.038419	0.028635
AC004596.1	0.182946	0.301327	0.671883	0.964529	0.656387
AC004597.1	0	0	0	0.039469	0
AC004637.1	0.033401	0.055014	0	0	0
AC004672.1	0.023131	0	0.016181	0	0.063232
AC004672.2	0.028047	0	0	0	0.028752
AC004674.1	0	0	0	0	0
AC004687.1	0.069351	0.16318	0.800471	1.321721	0.152339
AC004690.2	0	0	0	0	0
AC004691.1	0	0	0.030883	0.040479	0
AC004692.2	0	0	0	0	0
AC004702.1	0	0	0	0	0
AC004704.1	0	0.045483	0	0	0.028308
AC004706.1	0.073262	0.060334	0.211403	0.02519	1.445693
AC004707.2	0.090066	0	0.118133	0.123873	0.046163
AC004771.1	0	0	0.038481	0.252189	0.11278
AC004771.2	0.934983	0.577499	0.337248	0.522412	1.317879
AC004771.3	0	0	0	0	0
AC004771.4	0.08911	0.146772	0.187008	0.081706	0.669881
AC004775.1	0.02138	0	0.112172	0	0.021917
AC004797.1	0.006272	0.01033	0.006581	0	0
AC004801.2	0.123999	0.136158	0.043371	0.284239	0.381337
AC004801.3	0	0.027564	0.01756	0	0.068621
AC004801.4	0	0	0	0.007115	0.042425
AC004801.5	0	0	0.113268	0.106045	1.138168
AC004801.6	0.47738	0.271133	0.276369	0.339605	0.438742
AC004803.1	0.56604	0.635999	0.709057	0.289678	1.138013
AC004812.2	1.230123	0.734468	0.685726	1.395786	2.293457
AC004816.1	3.125409	1.444352	6.464662	5.504634	5.001739
AC004816.2	0	0	0	0.155931	0
AC004817.1	0	0	0	0	0
AC004817.2	0.04946	0	0	0	0
AC004817.3	0.030247	0.04982	0.015869	0.020801	0
AC004817.4	0.004441	0.007315	0	0	0
AC004825.2	0.24768	0.46623	0.705424	0.389314	0.398984
AC004828.1	0	0	0.051661	0.067713	0
AC004830.2	0.106032	0.058215	0.166891	0.097222	0.38043
AC004832.1	0	0	0.006975	0.100563	0
AC004832.4	0.486382	0.160222	0.255182	0.53516	0.049859
AC004832.5	0.321182	0.39676	0.421273	0.552175	0.205778
AC004832.6	0	0	0.023996	0.125808	0.023442
